지점번호,지점명,차로수_유입,차로수_유출,2019년 유입,2019년 유출,2019년 양방,2020년 유입,2020년 유출,2020년 양방,증감현황(유입),증감현황(유출),증감현황(양방),차로수_유입,차로수_유출,2020년 유입,2020년 유출,2020년 양방,2021년 유입,2021년 유출,2021년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2021년 유입,2021년 유출,2021년 양방,2022년 유입,2022년 유출,2022년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2022_유입,2022_유출,2022_양방,2023_유입,2023_유출,2023_양방,증감_유입(%),증감_유출(%),증감_양방(%)
F-01,올림픽대로,5,4,"254,969","141,449","113,520","244,332","136,213","108,119",-4.20%,-3.70%,-4.80%,5,4,"244,332","136,213","108,119","243,077","135,812","107,265",-0.50%,-0.30%,-0.80%,5,4,"243,077","135,812","107,265","245,187","137,401","107,786",0.90%,1.20%,0.50%,5,4,245187,137401,107786,245793,139638,106155,0.2,1.6,-1.5
F-02,강변북로,4,4,"241,143","117,544","123,599","230,067","111,458","118,609",-4.60%,-5.20%,-4.00%,4,4,"230,067","111,458","118,609","225,665","109,218","116,447",-1.90%,-2.00%,-1.80%,4,4,"225,665","109,218","116,447","232,299","113,450","118,849",2.90%,3.90%,2.10%,4,4,232299,113450,118849,227913,110920,116993,-1.9,-2.2,-1.6
F-03,내부순환로,3,3,"147,216","75,097","72,119","140,897","71,523","69,374",-4.30%,-4.80%,-3.80%,3,3,"140,897","71,523","69,374","138,821","70,399","68,422",-1.50%,-1.60%,-1.40%,3,3,"138,821","70,399","68,422","139,812","70,350","69,462",0.70%,-0.10%,1.50%,3,3,139812,70350,69462,139077,69853,69224,-0.5,-0.7,-0.3
F-04,북부간선도로,2,2,"113,199","53,742","59,457","108,305","51,838","56,467",-4.30%,-3.50%,-5.00%,2,2,"108,305","51,838","56,467","105,921","50,462","55,459",-2.20%,-2.70%,-1.80%,2,2,"105,921","50,462","55,459","108,076","51,105","56,971",2.00%,1.30%,2.70%,2,2,108076,51105,56971,108673,51361,57312,0.6,0.5,0.6
F-05,동부간선도로,3,3,"143,081","64,542","78,539","137,834","62,335","75,499",-3.70%,-3.40%,-3.90%,3,3,"137,834","62,335","75,499","133,006","60,811","72,195",-3.50%,-2.40%,-4.40%,3,3,"133,006","60,811","72,195","135,731","61,925","73,806",2.00%,1.80%,2.20%,3,3,135731,61925,73806,134488,61114,73374,-0.9,-1.3,-0.6
F-06,경부고속도로,4,4,"206,126","101,220","104,906","194,220","96,711","97,509",-5.80%,-4.50%,-7.10%,4,4,"194,220","96,711","97,509","192,269","95,343","96,926",-1.00%,-1.40%,-0.60%,4,4,"192,269","95,343","96,926","193,693","95,267","98,426",0.70%,-0.10%,1.50%,4,4,193693,95267,98426,190975,93756,97219,-1.4,-1.6,-1.2
F-07,분당수서로,3,3,"138,940","69,949","68,991","137,139","68,156","68,983",-1.30%,-2.60%,0.00%,3,3,"137,139","68,156","68,983","134,216","66,605","67,611",-2.10%,-2.30%,-2.00%,3,3,"134,216","66,605","67,611","134,320","66,930","67,390",0.10%,0.50%,-0.30%,3,3,134320,66930,67390,133284,66399,66885,-0.8,-0.8,-0.7
F-08,강남순환로(관악터널),3,3,"77,652","38,942","38,710","83,404","41,615","41,789",7.40%,6.90%,8.00%,3,3,"83,404","41,615","41,789","90,451","45,846","44,605",8.40%,10.20%,6.70%,3,3,"90,451","45,846","44,605","88,509","43,630","44,879",-2.10%,-4.80%,0.60%,3,3,88509,43630,44879,93768,46307,47461,5.9,6.1,5.8
F-09,서부간선지하도로,2,3,"110,603","50,665","59,938","104,479","47,885","56,594",-5.50%,-5.50%,,2,3,"104,479","47,885","56,594","95,170","42,920","52,250",-8.90%,-10.40%,-7.70%,2,2,-,-,-,"49,642","22,915","26,727",-,-,-,2,2,49642,22915,26727,51936,24110,27826,4.6,5.2,4.1
F-10,신월여의지하도로,,,,,,,,,,,,,,,,,,,,,,,2,2,-,-,-,"49,818","24,981","24,837",-,-,-,2,2,49818,24981,24837,56704,26840,29864,13.8,7.4,20.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
