구분,유입(전체),유입(도심),유입(시계),유입(교량),유입(간선도시),유입(고속),유출(전체),유출(도심),유출(시계),유출(교량),유출(간선도시),유출(고속),year
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2020
00~01시,89,8,20,17,29,15,98,10,23,17,31,17,2020
01~02시,63,6,14,12,21,10,67,7,16,11,22,11,2020
02~03시,47,5,10,9,15,8,50,5,12,8,17,8,2020
03~04시,41,4,10,7,13,7,43,4,11,7,14,7,2020
04~05시,57,5,16,9,18,9,55,5,15,9,16,10,2020
05~06시,125,9,39,19,36,22,121,8,36,21,31,25,2020
06~07시,237,21,74,36,67,39,210,14,64,42,53,37,2020
07~08시,307,34,87,52,94,40,274,22,81,59,75,37,2020
08~09시,311,37,85,57,94,38,289,26,83,62,83,35,2020
09~10시,296,33,82,53,91,37,271,26,73,56,81,35,2020
10~11시,278,30,77,50,85,36,267,26,73,54,79,35,2020
11~12시,267,29,71,50,81,36,267,27,75,51,79,35,2020
12~13시,256,26,71,47,76,36,257,26,73,47,76,35,2020
13~14시,270,27,76,49,81,37,267,28,74,50,79,36,2020
14~15시,272,27,76,51,82,36,272,29,75,51,81,36,2020
15~16시,274,27,77,52,82,36,278,29,77,52,84,36,2020
16~17시,281,26,80,55,84,36,288,30,82,54,87,35,2020
17~18시,286,26,84,58,85,33,298,32,87,55,90,34,2020
18~19시,277,24,82,58,83,30,292,31,89,52,88,32,2020
19~20시,247,21,72,51,74,29,272,28,82,47,83,32,2020
20~21시,221,19,61,44,66,31,243,24,70,41,75,33,2020
21~22시,214,19,56,42,64,33,229,23,62,40,70,34,2020
22~23시,181,16,44,37,55,29,195,19,52,33,60,31,2020
23~24시,136,13,31,27,42,23,149,15,38,25,46,25,2020
합계,5033,492,1395,942,1518,686,5052,494,1423,944,1500,691,2020
평균,210,21,58,39,63,29,211,21,59,39,63,29,2020
첨두시간,8시,8시,7시,18시,7시,7시,17시,17시,18시,8시,17시,6시,2020
첨두교통량,311,37,87,58,94,40,298,32,89,62,90,37,2020
첨두비율,0.062,0.075,0.062,0.062,0.062,0.058,0.059,0.065,0.063,0.066,0.06,0.054,2020
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2021
00~01시,74,7,17,14,23,13,80,8,20,13,25,14,2021
01~02시,52,5,12,10,16,9,53,5,13,9,17,9,2021
02~03시,38,3,9,7,12,7,41,4,10,7,13,7,2021
03~04시,35,3,9,6,11,6,36,3,9,6,11,7,2021
04~05시,55,4,16,8,17,10,54,4,15,9,15,11,2021
05~06시,130,9,41,20,37,23,126,7,39,22,31,27,2021
06~07시,240,21,76,37,67,39,214,14,67,43,53,37,2021
07~08시,307,33,90,52,92,40,273,22,83,58,74,36,2021
08~09시,308,35,87,56,92,38,288,26,85,60,82,35,2021
09~10시,294,32,84,52,89,37,269,25,75,55,80,34,2021
10~11시,277,29,78,50,84,36,265,25,75,53,78,34,2021
11~12시,269,29,73,50,81,36,265,26,76,50,78,35,2021
12~13시,261,26,73,48,78,36,260,26,75,48,76,35,2021
13~14시,270,27,77,49,81,36,265,27,75,50,78,35,2021
14~15시,271,27,77,50,81,36,270,28,76,50,81,35,2021
15~16시,272,26,78,51,81,36,278,29,79,52,83,35,2021
16~17시,279,26,81,54,83,35,289,29,85,54,86,35,2021
17~18시,282,25,84,57,84,32,296,31,90,54,88,33,2021
18~19시,274,24,81,57,82,30,290,30,91,51,86,32,2021
19~20시,244,21,71,49,73,30,266,27,82,45,80,32,2021
20~21시,218,18,60,43,65,32,236,23,69,39,72,33,2021
21~22시,212,18,56,42,63,33,225,22,62,39,68,34,2021
22~23시,182,15,45,37,55,30,197,18,54,33,60,32,2021
23~24시,122,11,29,24,37,21,131,12,34,22,40,23,2021
합계,4966,474,1404,923,1484,681,4967,471,1439,922,1455,680,2021
평균,207,20,59,38,62,28,207,20,60,38,61,28,2021
첨두시간,8시,8시,7시,17시,7시,7시,17시,17시,18시,8시,17시,6시,2021
첨두교통량,308,35,90,57,92,40,296,31,91,60,88,37,2021
첨두비율,0.062,0.074,0.064,0.062,0.062,0.059,0.06,0.066,0.063,0.064,0.06,0.054,2021
조사 지점수,139,24,38,21,46,10,139,24,38,21,46,10,2022
00~01시,86,7,20,17,28,14,96,9,25,16,31,15,2022
01~02시,61,5,14,12,21,9,67,7,17,11,22,10,2022
02~03시,47,4,11,9,16,7,51,5,13,8,17,8,2022
03~04시,43,4,11,8,13,7,45,4,12,8,14,7,2022
04~05시,62,5,18,9,20,10,62,5,17,11,18,11,2022
05~06시,138,10,44,20,41,23,134,8,42,24,34,26,2022
06~07시,246,22,77,38,69,40,218,14,69,44,55,36,2022
07~08시,311,33,91,52,93,42,278,22,85,59,76,36,2022
08~09시,312,35,89,57,93,38,292,25,87,61,83,36,2022
09~10시,296,32,85,52,90,37,275,25,77,57,81,35,2022
10~11시,283,30,80,51,86,36,268,25,76,54,79,34,2022
11~12시,271,29,74,50,82,36,267,26,77,51,79,34,2022
12~13시,263,26,74,48,79,36,260,25,75,48,77,35,2022
13~14시,273,27,78,49,82,37,266,27,75,50,79,35,2022
14~15시,273,27,78,50,82,36,274,28,77,52,82,35,2022
15~16시,275,26,79,52,82,36,283,29,81,53,84,36,2022
16~17시,283,25,83,55,84,36,295,29,86,56,88,36,2022
17~18시,286,25,85,58,84,34,303,30,91,57,90,35,2022
18~19시,279,24,83,58,82,32,298,30,92,54,88,34,2022
19~20시,246,20,71,50,74,31,268,26,81,46,81,34,2022
20~21시,220,18,61,44,66,31,238,23,69,40,73,33,2022
21~22시,211,18,56,42,64,31,228,22,63,40,70,33,2022
22~23시,181,15,45,37,56,28,199,18,55,34,62,30,2022
23~24시,131,11,32,26,41,21,147,13,39,25,46,24,2022
합 계,5077,478,1439,944,1528,688,5112,475,1481,959,1509,688,2022
평 균,212,20,60,39,64,29,213,20,62,40,63,29,2022
첨두시간,8시,8시,7시,18시,7시,7시,17시,17시,18시,8시,17시,16시,2022
첨두 교통량,312,35,91,58,93,42,303,30,92,61,90,36,2022
첨두비율,6.10%,7.30%,6.30%,6.20%,6.10%,6.10%,5.90%,6.40%,6.20%,6.30%,5.90%,5.30%,2022
조사 지점수,139,24,38,21,46,10,139,24,38,21,46,10,2023
00~01시,91,8,22,17,30,14,101,10,26,17,33,15,2023
01~02시,65,6,15,12,22,10,72,7,18,12,24,11,2023
02~03시,51,5,12,9,17,8,56,6,14,9,19,8,2023
03~04시,46,4,12,8,15,7,46,4,12,8,15,7,2023
04~05시,67,5,20,10,21,11,66,5,19,11,19,12,2023
05~06시,147,10,48,21,43,25,140,8,44,25,36,27,2023
06~07시,249,22,78,38,70,41,219,14,69,45,56,35,2023
07~08시,310,33,91,52,93,41,276,22,84,58,76,36,2023
08~09시,312,35,90,56,93,38,290,25,87,60,82,36,2023
09~10시,297,32,86,52,90,37,274,25,78,56,80,35,2023
10~11시,279,29,79,50,85,36,267,25,76,53,79,34,2023
11~12시,269,29,74,49,81,36,265,26,77,50,78,34,2023
12~13시,262,27,74,47,78,36,260,26,75,48,76,35,2023
13~14시,269,27,77,48,81,36,267,27,76,50,79,35,2023
14~15시,272,27,78,49,82,36,273,28,77,51,82,35,2023
15~16시,273,26,79,51,82,35,282,29,81,52,84,36,2023
16~17시,280,25,83,54,83,35,296,30,87,55,88,36,2023
17~18시,283,25,85,57,83,33,304,31,92,56,90,35,2023
18~19시,274,24,82,57,81,30,298,31,92,53,88,34,2023
19~20시,245,21,72,49,73,30,271,27,82,46,82,34,2023
20~21시,223,19,62,43,67,32,243,24,71,40,75,33,2023
21~22시,212,18,57,41,64,32,231,23,64,40,71,33,2023
22~23시,186,16,46,37,58,29,207,20,57,35,64,31,2023
23~24시,139,13,33,27,44,22,154,15,41,26,48,24,2023
합 계,"5,101",486,"1,455",934,"1,536",690,"5,158",488,"1,499",956,"1,524",691,2023
평 균,213,20,61,39,64,29,215,20,62,40,64,29,2023
첨두시간,8시,8시,7시,17시,7시,7시,17시,18시,18시,8시,17시,16시,2023
첨두 교통량,312,35,91,57,93,41,304,31,92,60,90,36,2023
첨두비율,6.10%,7.20%,6.30%,6.10%,6.10%,5.90%,5.90%,6.40%,6.10%,6.30%,5.90%,5.20%,2023
